Código,Ação,Setor
ABEV3.SA,AMBEV S/A,Consumo não Cíclico / Bebidas / Cervejas e Refrigerantes
AZUL4.SA,AZUL,Bens Industriais / Transporte / Transporte Aéreo
B3SA3.SA,B3,Financeiro e Outros / Serviços Financeiros Diversos / Serviços Financeiros Diversos
BBAS3.SA,BANCO DO BRASIL,Financeiro e Outros / Intermediários Financeiros / Bancos
BBDC3.SA,BRADESCO,Financeiro e Outros / Intermediários Financeiros / Bancos
BBDC4.SA,BRADESCO,Financeiro e Outros / Intermediários Financeiros / Bancos
BBSE3.SA,BBSEGURIDADE,Financeiro e Outros / Previdência e Seguros / Seguradoras
BEEF3.SA,MINERVA,Consumo não Cíclico / Alimentos Processados / Carnes e Derivados
BPAC11.SA,BTGP BANCO,Financeiro e Outros / Intermediários Financeiros / Bancos
BRAP4.SA,BRADESPAR,Materiais Básicos / Mineração / Minerais Metálicos
BRDT3.SA,PETROBRAS BR,Petróleo. Gás e Biocombustíveis
BRFS3.SA,BRF SA,Consumo não Cíclico / Alimentos Processados / Carnes e Derivados
BRKM5.SA,BRASKEM,Materiais Básicos / Químicos / Petroquímicos
BRML3.SA,BR MALLS PAR,Financeiro e Outros / Exploração de Imóveis
BRSR6.SA,BANRISUL,Financeiro e Outros / Intermediários Financeiros / Bancos
BTOW3.SA,B2W DIGITAL,Consumo Cíclico / Comércio
CCRO3.SA,CCR SA,Bens Industriais / Transporte / Exploração de Rodovias
CIEL3.SA,CIELO,Financeiro e Outros / Serviços Financeiros Diversos / Serviços Financeiros Diversos
CMIG4.SA,CEMIG,Utilidade Pública / Energia Elétrica
COGN3.SA,COGNA ON,Consumo Cíclico / Diversos / Serviços Educacionais
CPFE3.SA,CPFL ENERGIA,Utilidade Pública / Energia Elétrica / Energia Elétrica
CRFB3.SA,CARREFOUR BR,Consumo não Cíclico / Comércio e Distribuição / Alimentos
CSAN3.SA,COSAN,Petróleo. Gás e Biocombustíveis
CSNA3.SA,SID NACIONAL,Materiais Básicos / Siderurgia e Metalurgia / Siderurgia
CVCB3.SA,CVC BRASIL,Consumo Cíclico / Viagens e Lazer / Viagens e Turismo
CYRE3.SA,CYRELA REALT,Consumo Cíclico / Construção Civil / Edificações
ECOR3.SA,ECORODOVIAS,Bens Industriais / Transporte / Exploração de Rodovias
EGIE3.SA,ENGIE BRASIL,Utilidade Pública / Energia Elétrica
ELET3.SA,ELETROBRAS,Utilidade Pública / Energia Elétrica
ELET6.SA,ELETROBRAS,Utilidade Pública / Energia Elétrica
EMBR3.SA,EMBRAER,Bens Industriais / Material de Transporte
ENBR3.SA,ENERGIAS BR,Utilidade Pública / Energia Elétrica
ENGI11.SA,ENERGISA,Utilidade Pública / Energia Elétrica
EQTL3.SA,EQUATORIAL,Utilidade Pública / Energia Elétrica
FLRY3.SA,FLEURY,Saúde / Serv.Méd.Hospit..Análises e Diagnósticos
GGBR4.SA,GERDAU,Materiais Básicos / Siderurgia e Metalurgia / Siderurgia
GNDI3.SA,INTERMEDICA,Saúde / Serv.Méd.Hospit..Análises e Diagnósticos
GOAU4.SA,GERDAU MET,Materiais Básicos / Siderurgia e Metalurgia / Siderurgia
GOLL4.SA,GOL,Bens Industriais / Transporte / Transporte Aéreo
HAPV3.SA,HAPVIDA,Saúde / Serv.Méd.Hospit..Análises e Diagnósticos
HGTX3.SA,CIA HERING,Consumo Cíclico / Tecidos. Vestuário e Calçados / Vestuário
HYPE3.SA,HYPERA,Saúde / Comércio e Distribuição
IGTA3.SA,IGUATEMI,Financeiro e Outros / Exploração de Imóveis
IRBR3.SA,IRBBRASIL RE,Financeiro / Previdência e Seguros / Seguradoras
ITSA4.SA,ITAUSA,Financeiro e Outros / Intermediários Financeiros / Bancos
ITUB4.SA,ITAUUNIBANCO,Financeiro e Outros / Intermediários Financeiros / Bancos
JBSS3.SA,JBS,Consumo não Cíclico / Alimentos Processados / Carnes e Derivados
KLBN11.SA,KLABIN S/A,Materiais Básicos / Papel e Celulose
